국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수
중국,"91,629
(+25)","512
(-10)","4,636","86,481
(+35)",5.1,94.4,64,"1,439,323,776"
인도,"29,977,861
(+12,569)","662,521
(-18,767)","389,302
(+474)","28,926,038
(+30,862)",1.3,96.5,"21,723","1,380,004,385"
미국,"34,419,838
(+13,779)","5,034,868
(-42,709)","617,463
(+297)","28,767,507
(+56,191)",1.8,83.6,"103,987","331,002,651"
인도네시아,"2,004,445","147,728","54,956","1,801,761",2.7,89.9,"7,328","273,523,615"
파키스탄,"949,838
(+663)","33,452
(-568)","22,034
(+27)","894,352
(+1,204)",2.3,94.2,"4,300","220,892,340"
브라질,"17,969,806
(+41,878)","1,178,597
(-27,175)","502,817
(+899)","16,288,392
(+68,154)",2.8,90.6,"84,540","212,559,417"
나이지리아,"167,292
(+86)","1,377
(-155)","2,118
(+1)","163,797
(+240)",1.3,97.9,812,"206,139,589"
방글라데시,"856,304","57,196","13,626","785,482",1.6,91.7,"5,200","164,689,383"
러시아,"5,334,204","326,070","129,801","4,878,333",2.4,91.5,"36,552","145,934,462"
멕시코,"2,478,551
(+1,268)","273,052
(-1,574)","231,244
(+57)","1,974,255
(+2,785)",9.3,79.7,"19,224","128,932,753"
일본🇯,"785,969","22,248","14,439","749,282",1.8,95.3,"6,214","126,476,461"
에티오피아,"275,318
(+124)","15,530
(-433)","4,286
(+3)","255,502
(+554)",1.6,92.8,"2,395","114,963,588"
필리핀,"1,364,239","55,847","23,749","1,284,643",1.7,94.2,"12,450","109,581,078"
이집트,"277,797
(+509)","55,846
(+30)","15,898
(+39)","206,053
(+440)",5.7,74.2,"2,715","102,334,404"
베트남,"13,530
(+47)","8,008
(+45)","69
(+2)","5,453",0.5,40.3,139,"97,338,579"
콩고민주공화국,"37,926
(+117)","9,109
(+117)",879,"27,938",2.3,73.7,423,"89,561,403"
터키,"5,375,593
(+5,294)","88,626
(+150)","49,236
(+51)","5,237,731
(+5,093)",0.9,97.4,"63,738","84,339,067"
이란,"3,105,620","262,290","83,101","2,760,229",2.7,88.9,"36,975","83,992,949"
독일,"3,730,599
(+353)","31,492
(-2,584)","91,007
(+37)","3,608,100
(+2,900)",2.4,96.7,"44,526","83,783,942"
태국,"225,365
(+4,059)","35,836
(+1,977)","1,693
(+35)","187,836
(+2,047)",0.8,83.3,"3,229","69,799,978"
